Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,30,6.7%,0.3053,0.2304,0.4490,0.4564,0.4674,0.4243,0.6603,0.4854,0.2383,-0.42,-0.29,-0.07,-0.03,0.23,0.07,-0.51,-0.29
1,32,7.1%,0.5353,0.3834,0.4423,0.5528,0.5878,0.5128,0.6463,0.5581,0.9514,0.83,0.97,1.21,1.52,1.43,0.88,0.49,0.28
2,87,19.4%,0.1641,0.1311,0.2205,0.2058,0.2262,0.2014,0.2293,0.2143,0.2324,-0.24,-0.35,-0.39,-0.20,-0.39,-0.15,0.08,-0.07
3,56,12.5%,0.6081,0.1969,0.3823,0.4112,0.4995,0.4086,0.5129,0.4436,0.4401,0.48,0.61,0.59,0.46,0.61,0.26,0.11,-0.41
4,14,3.1%,0.4178,0.2650,0.5541,0.5102,0.4756,0.4575,0.5474,0.5019,0.3865,0.38,0.18,-0.04,-0.58,-0.45,-0.69,-0.48,-0.29
5,28,6.2%,0.3468,0.3545,0.5042,0.4727,0.5508,0.4971,0.6035,0.5185,1.0087,-0.66,-1.19,-1.37,-0.45,-0.88,1.39,0.76,1.37
6,64,14.3%,0.2324,0.3194,0.2343,0.2499,0.2721,0.2564,0.2791,0.2595,0.2098,-0.14,-0.11,-0.06,-0.19,-0.06,-0.17,0.38,-0.56
7,13,2.9%,0.3520,0.3595,0.4673,0.4467,0.4588,0.4286,0.5352,0.4619,0.4355,0.19,0.01,-0.10,-0.18,-1.20,-1.18,-0.58,-0.04
8,95,21.2%,0.2077,0.1851,0.2178,0.2408,0.2639,0.2458,0.2916,0.2532,0.2229,0.07,0.16,0.14,-0.11,0.01,-0.29,-0.51,0.49
9,30,6.7%,0.3189,0.3009,0.3981,0.4206,0.4433,0.4186,0.5485,0.4444,0.2314,-0.22,-0.10,-0.19,-0.34,-0.13,-0.23,0.14,-0.51
