Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,4,9.8%,0.5516,0.3406,0.5050,0.5916,0.6090,0.5510,0.7523,0.6063,0.5946,-0.69,0.01,-0.28,0.51,0.42,0.89,-0.58,1.38
1,8,19.5%,0.3939,0.2265,0.3747,0.3963,0.3835,0.3700,0.4384,0.3934,0.2390,-0.52,-0.34,-0.18,0.06,0.19,0.00,-0.52,-0.09
2,7,17.1%,0.4789,0.4223,0.4390,0.4325,0.4704,0.4258,0.5261,0.4551,0.3098,0.09,0.01,0.09,-0.23,-0.04,-0.49,0.65,-0.88
3,6,14.6%,0.6965,0.3483,0.3912,0.4401,0.4355,0.4464,0.5098,0.4480,0.5068,1.09,0.79,0.70,-0.52,-0.05,-0.67,-0.21,0.02
4,2,4.9%,0.6453,0.6277,0.5717,0.7648,0.7410,0.7243,0.7086,0.7260,1.0208,-0.85,-1.28,-1.60,0.10,-1.57,1.35,1.27,0.15
5,3,7.3%,0.7665,0.5575,0.5372,0.6286,0.6250,0.5937,0.6211,0.6117,0.6958,-0.11,-0.71,-0.89,-0.17,-0.91,0.32,-0.92,1.54
6,4,9.8%,0.7122,0.3883,0.5433,0.4722,0.5187,0.4844,0.5059,0.4960,0.6071,0.65,0.69,0.94,0.31,0.82,-0.41,0.47,-0.56
7,2,4.9%,0.4129,0.4167,0.5009,0.7178,0.7624,0.7486,0.7306,0.7176,0.9437,-1.37,-1.27,-1.32,-0.65,-1.33,1.17,-0.24,0.19
8,3,7.3%,0.3674,0.4739,0.4750,0.5282,0.5629,0.4853,0.5456,0.5250,0.2581,-0.33,-0.04,0.06,-0.07,0.69,0.47,-0.33,0.08
9,2,4.9%,0.4383,0.4398,0.6890,0.6783,0.6829,0.6495,0.6749,0.6736,1.1164,1.46,1.20,1.18,1.40,0.26,-0.97,1.46,-0.99
