Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,25,5.5%,0.3894,0.1802,0.2300,0.2544,0.3313,0.2812,0.3394,0.2881,0.2736,-0.21,-0.42,-0.48,-0.09,-0.46,0.05,0.17,0.31
1,38,8.4%,0.5243,0.1297,0.4114,0.2983,0.3858,0.3397,0.4332,0.3570,0.3714,-0.13,-0.40,-0.47,-0.08,-0.61,-0.24,0.66,-0.39
2,81,17.9%,0.3561,0.0956,0.2582,0.2628,0.2832,0.2592,0.3818,0.2857,0.1641,-0.33,-0.12,0.01,-0.00,0.40,0.14,-0.19,-0.11
3,44,9.7%,0.3603,0.1116,0.1768,0.2111,0.2134,0.2127,0.2150,0.2097,0.6711,0.96,1.14,1.15,0.50,1.06,0.19,0.35,0.01
4,11,2.4%,0.3937,0.8802,0.3475,0.4101,0.4589,0.4637,0.6127,0.4600,0.2923,-0.21,-0.30,-0.31,0.13,-0.46,0.03,0.71,0.19
5,78,17.3%,0.4470,0.0955,0.1746,0.2042,0.2033,0.2018,0.2325,0.2058,0.3418,-0.58,-0.55,-0.53,-0.26,-0.43,0.03,-0.21,0.14
6,42,9.3%,0.3068,0.1729,0.5113,0.3882,0.3917,0.3323,0.3578,0.3825,0.3687,1.03,0.65,0.41,0.22,-0.27,-0.19,-0.01,0.18
7,54,11.9%,0.4823,0.2059,0.2282,0.3102,0.2645,0.2657,0.3409,0.2897,0.1565,-0.38,-0.25,-0.16,-0.15,-0.00,0.05,-0.06,-0.19
8,42,9.3%,0.1455,0.1251,0.1690,0.1769,0.2220,0.2024,0.2155,0.1974,0.1562,0.15,0.08,0.00,-0.22,-0.20,-0.31,-0.11,-0.18
9,37,8.2%,0.3520,0.1430,0.1928,0.2023,0.1874,0.1844,0.2288,0.1991,0.3242,0.37,0.40,0.40,0.29,0.37,0.09,-0.32,0.36
